#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND
171,Words Unspoken,Steve Martin,1/1/2009,105,52,46,-10,55,2:53,64,21,5019
172,Bound To Ride,Jim Mills,1998,168,71,38,-8,97,2:03,48,23,3349
173,The Hide Head Blues,Jim Mills,2005,115,76,58,-5,96,2:58,63,19,2669
174,Waveland,Noam Pikelny,3/3/2017,76,33,35,-16,77,2:59,99,34,1011
175,New York City,Punch Brothers,2012,161,70,32,-6,44,3:47,71,29,1326
176,Fish and Bird,Noam Pikelny,10/25/2011,93,20,33,-13,41,5:13,87,27,1335
177,Wheel Hoss,Noam Pikelny,10/1/2013,154,72,45,-10,96,2:57,73,21,2339
178,Three Dots and a Dash,Punch Brothers,6/18/2018,106,28,65,-12,54,4:27,95,0,7252
179,The Train That Carried My Girl From Town,The Earls Of Leicester,7/15/2016,134,65,58,-9,69,2:46,36,29,503
180,Senor (Tales Of Yankee Power),Tim O'Brien,1/1/2006,105,41,69,-13,73,4:03,74,36,6108
181,Locust Grove,Kristin Scott Benson,7/22/2016,124,82,52,-7,77,3:19,8,0,3738
182,Drinkin' Dark Whiskey,The Steeldrivers,1/1/2008,192,72,54,-5,83,2:54,70,46,9600
183,Up 18 North,Kruger Brothers,4/15/2002,130,25,46,-17,34,3:38,82,32,248
184,Whiskey Before Breakfast,Greg Liszt,4/2/2018,113,62,65,-10,96,4:07,88,18,7178
185,Saylors Creek,Gina Clowes,9/29/2017,121,62,53,-7,42,3:17,30,0,8550
186,Night Driver,Ned Luberecki,3/31/2017,141,65,41,-10,97,2:29,81,17,2635
187,Charlie,Danny Barnes,11/30/2016,107,60,59,-10,96,3:07,81,18,6747
188,Jig of Retribution / Roan Mountain Grown,Rex McGee,8/8/2013,140,54,49,-14,60,4:58,37,17,9579
189,Yeah Man (with Rob Ickes),Frank Solivan and Dirty Kitchen,8/12/2014,134,74,55,-12,93,4:27,69,19,9228
190,"Once Upon a Time in Appalachia (feat. Bill Evans, Mark Egan, Joel Rosenblatt, Tyson Rogers & Eli Bishop)",Ryan Cavanaugh,5/8/2014,114,79,59,-7,82,5:37,61,17,6811
191,Wickwire,Mile Twelve,10/27/2017,133,62,54,-11,84,3:30,45,20,5572
192,Cape Ann,Simon Chrisman & Wes Corbett,5/19/2018,139,36,47,-14,54,3:50,90,17,964
